Threads	QPS	AvgLatency	PctLatency
4	2704.11	147.89	176.73
8	4465.44	179.07	215.44
16	6653.41	240.34	287.38
25	7847.71	318.39	383.33
50	9985.26	500.15	601.29
75	10869.03	689.27	846.57
100	11076.16	901.88	1149.76
125	11225.24	1112.07	1453.01
150	11152.19	1343.20	1771.29
175	11149.95	1567.16	2120.76
