Threads	QPS	AvgLatency	PctLatency
25	4439.96	561.64	646.19
50	6101.61	816.45	960.30
75	6219.22	1200.66	1427.08
100	6314.18	1574.50	1869.60
125	6357.72	1953.82	2320.55
150	6365.64	2336.95	2728.81
175	6436.19	2697.88	3095.38
