Threads	QPS	AvgLatency	PctLatency
25	3493.72	713.85	861.95
50	6197.69	802.85	943.16
75	6362.47	1172.18	1352.03
100	6506.27	1528.30	1771.29
125	6554.25	1896.33	2238.47
150	6638.15	2246.09	2539.17
175	6679.83	2595.15	2985.89
